Symbol,Atomic_Number,Atomic_Weight,Period,group,families,Mendele_Number,l_quantum_number,Atomic_Radus,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,Orbital_Radius(pm),crystal_radius,Pauling_Electronegativity,MB_electonegativity,Nagle_electonegativity,Pearson_abs_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Molar_Denstiy_(mol/ml),Density_(g/mL),Molar_Heat_Capacity(J/mol_K),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy,B(Gpa),nws(e/au3),volume(10-6m3),Work_function,G,abs_valence,Nearest_Neighbor_Distance(pm),Critical_Temperature,Low_Temp_Debye(K),High_Temp_Debye(K),Atomic_Concentration(1e-23_cm-3)
Cu,29,63.55,4,11,4,64,2,1.45,126,1.38,2.04,1.35,119.1,0.71,1.9,1.08,1.51,4.48,3.66,4.48,1.85,5.44,11,2,1,0,10,0,1,6,0,14,1,745,6.7,1356.15,2840.15,0.14,8.96,24.15,0.38,13.05,300.3,401,338,3.49,138,3.18,7.12,5.1,48,0,256,5421,347,310,8.45
Zn,30,65.39,4,12,4,69,2,1.42,140,1.31,1.88,1.35,106.5,0.74,1.65,1.44,1.46,4.45,3.75,4.45,1.59,4.44,12,1,2,0,10,0,0,6,0,14,2,906,6.4,692.75,1179.15,0.11,7.13,25.5,0.39,7.32,115.3,116,131,1.35,69.4,2.3,9.17,4.9,43,0,266,3380,329,237,6.55
Ga,31,69.72,4,13,5,74,1,1.36,134,1.26,1.7,1.3,125.4,0.76,1.81,1.7,1.56,3.2,4.17,3.2,1.76,3.44,3,3,2,1,0,0,0,5,10,14,3,579,8.1,302.95,2676.15,0.08,5.9,25.8,0.37,5.59,258.7,40.6,286,2.81,56.9,2.25,11.82,4.32,6,1,244,7620,325,240,5.1
Ge,32,72.61,4,14,6,79,1,1.25,114,1.22,1.56,1.25,109,0.53,2.01,1.99,1.81,4.6,4.64,4.6,1.99,4,4,4,2,2,0,0,0,4,10,14,4,762,6.1,1220.55,3103.15,0.07,5.32,23.24,0.32,36.94,330.9,59.9,377,3.85,77.2,2.57,9.87,5,67,2,245,8400,373,403,4.42
As,33,74.92,4,15,6,84,1,1.14,115,1.19,1.42,1.15,100.1,0.72,2.18,2.27,2.11,5.3,5.17,5.3,2.21,3,5,5,2,3,0,0,0,3,10,14,5,947,4.3,1090.15,890.15,0.08,5.73,24.72,0.33,27.7,34.76,50,302,2.96,38.3,3,11.85,3.75,,3,316,2100,282,275,4.65
Se,34,78.96,4,16,7,89,1,1.03,118,1.16,1.29,1.15,91.8,0.56,2.55,2.54,2.31,5.89,5.76,5.89,2.43,2,6,6,2,4,0,0,0,2,10,14,6,941,3.8,490.15,958.15,0.06,4.79,25.27,0.32,6.69,37.7,0.52,227,2.46,8.3,,,5.9,3.7,4,232,1757,152.5,0,3.67
Br,35,79.9,4,17,8,95,1,0.94,,1.14,1.2,1.15,85.1,1.82,2.96,2.83,2.56,7.59,6.41,7.59,2.69,0,7,7,2,5,0,0,0,1,10,14,7,1140,3.1,265.95,331.95,0.04,3.12,37.79,0.47,5.29,15.44,0.12,112,1.22,1.9,,,,,5,,584,,,2.36
Kr,36,83.8,4,18,9,101,1,0.88,,1.1,0,0.88,79.5,,3,,2.82,,7.11,,2.97,0,0,0,0,0,0,0,2,6,10,14,0,1351,2.5,116.15,121.15,0,0,20.78,0.25,1.64,9.03,0.01,0,0.12,,,,,,6,400,209.4,71.9,0,2.17
Rb,37,85.47,5,1,1,4,0,2.65,244,2.11,4.1,2.35,228.7,1.66,0.82,0.8,0.83,2.34,3.19,2.34,0.71,1,1,1,1,0,0,0,1,6,10,14,1,403,47.3,312.05,959.15,0.02,1.53,31.02,0.36,2.19,72.22,58.2,86,0.85,3.1,0.22,56.07,2.26,,1,484,2093,56.5,59,1.15
Sr,38,87.62,5,2,2,8,0,2.19,212,1.92,3.21,2,183.6,1.32,0.95,1.13,1.06,2,3.36,2,0.96,2,2,2,2,0,0,0,0,6,10,14,2,549,27.6,1042.15,1657.15,0.03,2.54,26.29,0.3,8.3,144,35.3,164,1.72,12,0.59,33.93,2.59,6.1,2,430,3059,147,148,1.78
